cid2,cid,dbid,name,dbid2,name2,descr
187,2022,DB00787,Acyclovir,DB03128,Acetylcholine,The risk or severity of adverse effects can be increased when Acyclovir is combined with Acetylcholine.
199,2022,DB00787,Acyclovir,DB08838,Agmatine,The risk or severity of adverse effects can be increased when Acyclovir is combined with Agmatine.
243,2022,DB00787,Acyclovir,DB03793,Benzoic acid,The excretion of Acyclovir can be decreased when combined with Benzoic acid.
244,2022,DB00787,Acyclovir,DB06770,Benzyl alcohol,The metabolism of Benzyl alcohol can be decreased when combined with Acyclovir.
305,2022,DB00787,Acyclovir,DB00122,Choline,The risk or severity of adverse effects can be increased when Choline is combined with Acyclovir.
338,2022,DB00787,Acyclovir,DB00936,Salicylic acid,The excretion of Acyclovir can be decreased when combined with Salicylic acid.
379,2022,DB00787,Acyclovir,DB04519,Caprylic acid,The excretion of Acyclovir can be decreased when combined with Caprylic acid.
444,2022,DB00787,Acyclovir,DB01156,Bupropion,Acyclovir may decrease the excretion rate of Bupropion which could result in a higher serum level.
679,2022,DB00787,Acyclovir,DB01093,Dimethyl sulfoxide,Acyclovir may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.
681,2022,DB00787,Acyclovir,DB00988,Dopamine,The risk or severity of adverse effects can be increased when Acyclovir is combined with Dopamine.
702,2022,DB00787,Acyclovir,DB00898,Ethanol,The metabolism of Ethanol can be decreased when combined with Acyclovir.
743,2022,DB00787,Acyclovir,DB03553,Glutaric Acid,The excretion of Glutaric Acid can be decreased when combined with Acyclovir.
774,2022,DB00787,Acyclovir,DB05381,Histamine,The risk or severity of adverse effects can be increased when Acyclovir is combined with Histamine.
790,2022,DB00787,Acyclovir,DB04076,Hypoxanthine,The metabolism of Hypoxanthine can be decreased when combined with Acyclovir.
896,2022,DB00787,Acyclovir,DB01065,Melatonin,The excretion of Acyclovir can be decreased when combined with Melatonin.
971,2022,DB00787,Acyclovir,DB03902,Oxalic Acid,The excretion of Oxalic Acid can be decreased when combined with Acyclovir.
1004,2022,DB00787,Acyclovir,DB09394,Phosphoric acid,Acyclovir may decrease the excretion rate of Phosphoric acid which could result in a higher serum level.
1046,2022,DB00787,Acyclovir,DB00339,Pyrazinamide,Acyclovir may decrease the excretion rate of Pyrazinamide which could result in a higher serum level.
1054,2022,DB00787,Acyclovir,DB00165,Pyridoxine,Acyclovir may decrease the excretion rate of Pyridoxine which could result in a higher serum level.
1091,2022,DB00787,Acyclovir,DB11127,Selenious acid,Acyclovir may decrease the excretion rate of Selenious acid which could result in a higher serum level.
1102,2022,DB00787,Acyclovir,DB03566,Spermidine,The risk or severity of adverse effects can be increased when Acyclovir is combined with Spermidine.
1103,2022,DB00787,Acyclovir,DB00127,Spermine,The risk or severity of adverse effects can be increased when Acyclovir is combined with Spermine.
1110,2022,DB00787,Acyclovir,DB00139,Succinic acid,The excretion of Succinic acid can be decreased when combined with Acyclovir.
1130,2022,DB00787,Acyclovir,DB00152,Thiamine,The risk or severity of adverse effects can be increased when Acyclovir is combined with Thiamine.
