cid2,cid,dbid,name,dbid2,name2,descr
187,2249,DB00335,Atenolol,DB03128,Acetylcholine,The risk or severity of adverse effects can be increased when Atenolol is combined with Acetylcholine.
199,2249,DB00335,Atenolol,DB08838,Agmatine,Atenolol may increase the arrhythmogenic activities of Agmatine.
244,2249,DB00335,Atenolol,DB06770,Benzyl alcohol,The metabolism of Benzyl alcohol can be decreased when combined with Atenolol.
247,2249,DB00335,Atenolol,DB06756,Betaine,Betaine may increase the bradycardic activities of Atenolol.
271,2249,DB00335,Atenolol,DB14577,Calcium cation,The therapeutic efficacy of Atenolol can be decreased when used in combination with Calcium cation.
338,2249,DB00335,Atenolol,DB00936,Salicylic acid,Salicylic acid may decrease the antihypertensive activities of Atenolol.
444,2249,DB00335,Atenolol,DB01156,Bupropion,The metabolism of Atenolol can be decreased when combined with Bupropion.
679,2249,DB00335,Atenolol,DB01093,Dimethyl sulfoxide,The metabolism of Atenolol can be decreased when combined with Dimethyl sulfoxide.
681,2249,DB00335,Atenolol,DB00988,Dopamine,Dopamine may decrease the antihypertensive activities of Atenolol.
702,2249,DB00335,Atenolol,DB00898,Ethanol,Ethanol may increase the hypotensive activities of Atenolol.
764,2249,DB00335,Atenolol,DB02377,Guanine,The risk or severity of adverse effects can be increased when Atenolol is combined with Guanine.
790,2249,DB00335,Atenolol,DB04076,Hypoxanthine,The risk or severity of adverse effects can be increased when Atenolol is combined with Hypoxanthine.
938,2249,DB00335,Atenolol,DB00627,Niacin,The metabolism of Atenolol can be decreased when combined with Niacin.
948,2249,DB00335,Atenolol,DB06690,Nitrous oxide,Nitrous oxide may decrease the antihypertensive activities of Atenolol.
1175,2249,DB00335,Atenolol,DB08844,Uric acid,The risk or severity of adverse effects can be increased when Atenolol is combined with Uric acid.
1188,2249,DB00335,Atenolol,DB02134,Xanthine,The risk or severity of adverse effects can be increased when Atenolol is combined with Xanthine.
1234,2249,DB00335,Atenolol,DB12923,Gallopamil,Atenolol may increase the arrhythmogenic activities of Gallopamil.
1318,2249,DB00335,Atenolol,DB02365,"1,10-Phenanthroline","1,10-Phenanthroline may increase the bradycardic activities of Atenolol."
1614,2249,DB00335,Atenolol,DB01509,Tenamfetamine,The therapeutic efficacy of Atenolol can be decreased when used in combination with Tenamfetamine.
1615,2249,DB00335,Atenolol,DB01454,Midomafetamine,The therapeutic efficacy of Atenolol can be decreased when used in combination with Midomafetamine.
1775,2249,DB00335,Atenolol,DB00252,Phenytoin,The metabolism of Atenolol can be decreased when combined with Phenytoin.
1832,2249,DB00335,Atenolol,DB14010,"5-methoxy-N,N-dimethyltryptamine","5-methoxy-N,N-dimethyltryptamine may decrease the antihypertensive activities of Atenolol."
1935,2249,DB00335,Atenolol,DB00382,Tacrine,Tacrine may increase the bradycardic activities of Atenolol.
1978,2249,DB00335,Atenolol,DB01193,Acebutolol,Atenolol may increase the arrhythmogenic activities of Acebutolol.
1981,2249,DB00335,Atenolol,DB13783,Acemetacin,Acemetacin may decrease the antihypertensive activities of Atenolol.
1983,2249,DB00335,Atenolol,DB00316,Acetaminophen,The metabolism of Atenolol can be decreased when combined with Acetaminophen.
1989,2249,DB00335,Atenolol,DB00414,Acetohexamide,The therapeutic efficacy of Acetohexamide can be increased when used in combination with Atenolol.
1993,2249,DB00335,Atenolol,DB06709,Methacholine,Atenolol may increase the bronchoconstrictory activities of Methacholine.
