cid2,cid,dbid,name,dbid2,name2,descr
244,56640146,DB09183,Dasabuvir,DB06770,Benzyl alcohol,The metabolism of Dasabuvir can be decreased when combined with Benzyl alcohol.
444,56640146,DB09183,Dasabuvir,DB01156,Bupropion,The metabolism of Dasabuvir can be decreased when combined with Bupropion.
679,56640146,DB09183,Dasabuvir,DB01093,Dimethyl sulfoxide,The metabolism of Dasabuvir can be decreased when combined with Dimethyl sulfoxide.
938,56640146,DB09183,Dasabuvir,DB00627,Niacin,The metabolism of Dasabuvir can be decreased when combined with Niacin.
1615,56640146,DB09183,Dasabuvir,DB01454,Midomafetamine,The metabolism of Dasabuvir can be decreased when combined with Midomafetamine.
1775,56640146,DB09183,Dasabuvir,DB00252,Phenytoin,The metabolism of Phenytoin can be decreased when combined with Dasabuvir.
1783,56640146,DB09183,Dasabuvir,DB08502,Capravirine,The metabolism of Dasabuvir can be decreased when combined with Capravirine.
1832,56640146,DB09183,Dasabuvir,DB14010,"5-methoxy-N,N-dimethyltryptamine","The metabolism of 5-methoxy-N,N-dimethyltryptamine can be decreased when combined with Dasabuvir."
1978,56640146,DB09183,Dasabuvir,DB01193,Acebutolol,The metabolism of Dasabuvir can be decreased when combined with Acebutolol.
1983,56640146,DB09183,Dasabuvir,DB00316,Acetaminophen,The metabolism of Acetaminophen can be decreased when combined with Dasabuvir.
2094,56640146,DB09183,Dasabuvir,DB00437,Allopurinol,Dasabuvir may decrease the excretion rate of Allopurinol which could result in a higher serum level.
2119,56640146,DB09183,Dasabuvir,DB00866,Alprenolol,The metabolism of Dasabuvir can be decreased when combined with Alprenolol.
2153,56640146,DB09183,Dasabuvir,DB00277,Theophylline,The metabolism of Theophylline can be decreased when combined with Dasabuvir.
2157,56640146,DB09183,Dasabuvir,DB01118,Amiodarone,The metabolism of Dasabuvir can be decreased when combined with Amiodarone.
2160,56640146,DB09183,Dasabuvir,DB00321,Amitriptyline,The metabolism of Amitriptyline can be decreased when combined with Dasabuvir.
2165,56640146,DB09183,Dasabuvir,DB00613,Amodiaquine,The metabolism of Dasabuvir can be decreased when combined with Amodiaquine.
2170,56640146,DB09183,Dasabuvir,DB00543,Amoxapine,The metabolism of Amoxapine can be decreased when combined with Dasabuvir.
2187,56640146,DB09183,Dasabuvir,DB01217,Anastrozole,The metabolism of Dasabuvir can be decreased when combined with Anastrozole.
2206,56640146,DB09183,Dasabuvir,DB01435,Antipyrine,The metabolism of Dasabuvir can be decreased when combined with Antipyrine.
2218,56640146,DB09183,Dasabuvir,DB01429,Aprindine,The metabolism of Dasabuvir can be decreased when combined with Aprindine.
2239,56640146,DB09183,Dasabuvir,DB09204,Arotinolol,The metabolism of Arotinolol can be decreased when combined with Dasabuvir.
2247,56640146,DB09183,Dasabuvir,DB00637,Astemizole,The metabolism of Astemizole can be decreased when combined with Dasabuvir.
2249,56640146,DB09183,Dasabuvir,DB00335,Atenolol,The metabolism of Dasabuvir can be decreased when combined with Atenolol.
2267,56640146,DB09183,Dasabuvir,DB00972,Azelastine,The metabolism of Dasabuvir can be decreased when combined with Azelastine.
2337,56640146,DB09183,Dasabuvir,DB01086,Benzocaine,The metabolism of Dasabuvir can be decreased when combined with Benzocaine.
2351,56640146,DB09183,Dasabuvir,DB01244,Bepridil,The metabolism of Dasabuvir can be decreased when combined with Bepridil.
2369,56640146,DB09183,Dasabuvir,DB00195,Betaxolol,The metabolism of Dasabuvir can be decreased when combined with Betaxolol.
2372,56640146,DB09183,Dasabuvir,DB01295,Bevantolol,The metabolism of Dasabuvir can be decreased when combined with Bevantolol.
2381,56640146,DB09183,Dasabuvir,DB00810,Biperiden,The metabolism of Dasabuvir can be decreased when combined with Biperiden.
2405,56640146,DB09183,Dasabuvir,DB00612,Bisoprolol,The serum concentration of Dasabuvir can be increased when it is combined with Bisoprolol.
2449,56640146,DB09183,Dasabuvir,DB06739,Seratrodast,The metabolism of Dasabuvir can be decreased when combined with Seratrodast.
2474,56640146,DB09183,Dasabuvir,DB00297,Bupivacaine,The metabolism of Dasabuvir can be decreased when combined with Bupivacaine.
2475,56640146,DB09183,Dasabuvir,DB08808,Bupranolol,The metabolism of Dasabuvir can be decreased when combined with Bupranolol.
2477,56640146,DB09183,Dasabuvir,DB00490,Buspirone,The metabolism of Dasabuvir can be decreased when combined with Buspirone.
2520,56640146,DB09183,Dasabuvir,DB00661,Verapamil,The metabolism of Dasabuvir can be decreased when combined with Verapamil.
2540,56640146,DB09183,Dasabuvir,DB00796,Candesartan cilexetil,The metabolism of Dasabuvir can be decreased when combined with Candesartan cilexetil.
2541,56640146,DB09183,Dasabuvir,DB13919,Candesartan,The metabolism of Dasabuvir can be decreased when combined with Candesartan.
2554,56640146,DB09183,Dasabuvir,DB00564,Carbamazepine,The metabolism of Dasabuvir can be increased when combined with Carbamazepine.
2585,56640146,DB09183,Dasabuvir,DB01136,Carvedilol,The serum concentration of Dasabuvir can be increased when it is combined with Carvedilol.
2662,56640146,DB09183,Dasabuvir,DB00482,Celecoxib,The metabolism of Dasabuvir can be decreased when combined with Celecoxib.
2663,56640146,DB09183,Dasabuvir,DB04846,Celiprolol,The metabolism of Dasabuvir can be decreased when combined with Celiprolol.
2719,56640146,DB09183,Dasabuvir,DB00608,Chloroquine,The metabolism of Dasabuvir can be decreased when combined with Chloroquine.
2725,56640146,DB09183,Dasabuvir,DB01114,Chlorpheniramine,The metabolism of Dasabuvir can be decreased when combined with Chlorpheniramine.
2726,56640146,DB09183,Dasabuvir,DB00477,Chlorpromazine,The metabolism of Dasabuvir can be decreased when combined with Chlorpromazine.
2733,56640146,DB09183,Dasabuvir,DB00356,Chlorzoxazone,The metabolism of Dasabuvir can be decreased when combined with Chlorzoxazone.
2750,56640146,DB09183,Dasabuvir,DB09201,Ciglitazone,The metabolism of Dasabuvir can be decreased when combined with Ciglitazone.
2754,56640146,DB09183,Dasabuvir,DB01166,Cilostazol,The metabolism of Dasabuvir can be decreased when combined with Cilostazol.
2756,56640146,DB09183,Dasabuvir,DB00501,Cimetidine,The metabolism of Dasabuvir can be decreased when combined with Cimetidine.
2761,56640146,DB09183,Dasabuvir,DB00568,Cinnarizine,The metabolism of Dasabuvir can be decreased when combined with Cinnarizine.
2764,56640146,DB09183,Dasabuvir,DB00537,Ciprofloxacin,The metabolism of Dasabuvir can be decreased when combined with Ciprofloxacin.
2771,56640146,DB09183,Dasabuvir,DB00215,Citalopram,The metabolism of Dasabuvir can be decreased when combined with Citalopram.
2789,56640146,DB09183,Dasabuvir,DB00349,Clobazam,The serum concentration of Dasabuvir can be increased when it is combined with Clobazam.
2794,56640146,DB09183,Dasabuvir,DB00845,Clofazimine,The serum concentration of Dasabuvir can be increased when it is combined with Clofazimine.
