cid2,cid,dbid,name,dbid2,name2,descr
244,702,DB00898,Ethanol,DB06770,Benzyl alcohol,Benzyl alcohol may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
323,702,DB00898,Ethanol,DB04665,Coumarin,The metabolism of Coumarin can be decreased when combined with Ethanol.
444,702,DB00898,Ethanol,DB01156,Bupropion,The risk or severity of adverse effects can be increased when Ethanol is combined with Bupropion.
753,702,DB00898,Ethanol,DB09462,Glycerin,The metabolism of Ethanol can be increased when combined with Glycerin.
790,702,DB00898,Ethanol,DB04076,Hypoxanthine,The metabolism of Hypoxanthine can be decreased when combined with Ethanol.
896,702,DB00898,Ethanol,DB01065,Melatonin,Melatonin may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
938,702,DB00898,Ethanol,DB00627,Niacin,The risk or severity of adverse effects can be increased when Ethanol is combined with Niacin.
943,702,DB00898,Ethanol,DB14049,Nitrate,Ethanol may increase the hypotensive and vasodilatory activities of Nitrate.
948,702,DB00898,Ethanol,DB06690,Nitrous oxide,Nitrous oxide may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
1001,702,DB00898,Ethanol,DB04325,Phenethylamine,Phenethylamine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
1188,702,DB00898,Ethanol,DB02134,Xanthine,The metabolism of Xanthine can be decreased when combined with Ethanol.
1355,702,DB00898,Ethanol,DB12110,m-Chlorophenylpiperazine,m-Chlorophenylpiperazine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
1614,702,DB00898,Ethanol,DB01509,Tenamfetamine,Tenamfetamine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
1615,702,DB00898,Ethanol,DB01454,Midomafetamine,Midomafetamine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
1646,702,DB00898,Ethanol,DB06527,Tramiprosate,Tramiprosate may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
1775,702,DB00898,Ethanol,DB00252,Phenytoin,Phenytoin may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
1832,702,DB00898,Ethanol,DB14010,"5-methoxy-N,N-dimethyltryptamine","5-methoxy-N,N-dimethyltryptamine may increase the central nervous system depressant (CNS depressant) activities of Ethanol."
1893,702,DB00898,Ethanol,DB02207,7-Nitroindazole,7-Nitroindazole may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
1935,702,DB00898,Ethanol,DB00382,Tacrine,"The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Tacrine is combined with Ethanol."
1978,702,DB00898,Ethanol,DB01193,Acebutolol,Ethanol may increase the hypotensive activities of Acebutolol.
1981,702,DB00898,Ethanol,DB13783,Acemetacin,The risk or severity of adverse effects can be decreased when Ethanol is combined with Acemetacin.
1986,702,DB00898,Ethanol,DB00819,Acetazolamide,Acetazolamide may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
1989,702,DB00898,Ethanol,DB00414,Acetohexamide,The risk or severity of adverse effects can be increased when Acetohexamide is combined with Ethanol.
1990,702,DB00898,Ethanol,DB00551,Acetohydroxamic acid,The risk or severity of rash can be increased when Ethanol is combined with Acetohydroxamic acid.
2022,702,DB00898,Ethanol,DB00787,Acyclovir,The metabolism of Ethanol can be decreased when combined with Acyclovir.
2081,702,DB00898,Ethanol,DB13233,Alaproclate,Alaproclate may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2082,702,DB00898,Ethanol,DB00518,Albendazole,The metabolism of Ethanol can be increased when combined with Albendazole.
2088,702,DB00898,Ethanol,DB00630,Alendronic acid,"The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Alendronic acid is combined with Ethanol."
2092,702,DB00898,Ethanol,DB00346,Alfuzosin,The metabolism of Alfuzosin can be decreased when combined with Ethanol.
2097,702,DB00898,Ethanol,DB13314,Alminoprofen,The risk or severity of gastrointestinal irritation can be increased when Ethanol is combined with Alminoprofen.
2099,702,DB00898,Ethanol,DB00969,Alosetron,Alosetron may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2118,702,DB00898,Ethanol,DB00404,Alprazolam,Alprazolam may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2119,702,DB00898,Ethanol,DB00866,Alprenolol,Alprenolol may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2130,702,DB00898,Ethanol,DB00915,Amantadine,Ethanol may increase the central nervous system depressant (CNS depressant) activities of Amantadine.
2141,702,DB00898,Ethanol,DB01143,Amifostine,Ethanol may increase the hypotensive activities of Amifostine.
2157,702,DB00898,Ethanol,DB01118,Amiodarone,Ethanol may increase the hypotensive activities of Amiodarone.
2159,702,DB00898,Ethanol,DB06288,Amisulpride,Amisulpride may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2160,702,DB00898,Ethanol,DB00321,Amitriptyline,Amitriptyline may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2162,702,DB00898,Ethanol,DB00381,Amlodipine,The metabolism of Amlodipine can be increased when combined with Ethanol.
2164,702,DB00898,Ethanol,DB01351,Amobarbital,Amobarbital may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2170,702,DB00898,Ethanol,DB00543,Amoxapine,Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2182,702,DB00898,Ethanol,DB00261,Anagrelide,The metabolism of Ethanol can be decreased when combined with Anagrelide.
2196,702,DB00898,Ethanol,DB04599,Aniracetam,Aniracetam may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2206,702,DB00898,Ethanol,DB01435,Antipyrine,The risk or severity of gastrointestinal irritation can be increased when Ethanol is combined with Antipyrine.
2239,702,DB00898,Ethanol,DB09204,Arotinolol,Ethanol may increase the hypotensive activities of Arotinolol.
2244,702,DB00898,Ethanol,DB00945,Acetylsalicylic acid,The risk or severity of adverse effects can be increased when Ethanol is combined with Acetylsalicylic acid.
2247,702,DB00898,Ethanol,DB00637,Astemizole,The metabolism of Astemizole can be increased when combined with Ethanol.
2249,702,DB00898,Ethanol,DB00335,Atenolol,Ethanol may increase the hypotensive activities of Atenolol.
2265,702,DB00898,Ethanol,DB00993,Azathioprine,The metabolism of Azathioprine can be decreased when combined with Ethanol.
2267,702,DB00898,Ethanol,DB00972,Azelastine,Azelastine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2284,702,DB00898,Ethanol,DB00181,Baclofen,Baclofen may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2294,702,DB00898,Ethanol,DB01483,Barbital,Barbital may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2315,702,DB00898,Ethanol,DB00436,Bendroflumethiazide,The risk or severity of hypotension and orthostatic hypotension can be increased when Ethanol is combined with Bendroflumethiazide.
2343,702,DB00898,Ethanol,DB00562,Benzthiazide,The risk or severity of hypotension and orthostatic hypotension can be increased when Ethanol is combined with Benzthiazide.
2351,702,DB00898,Ethanol,DB01244,Bepridil,Ethanol may increase the hypotensive activities of Bepridil.
2361,702,DB00898,Ethanol,DB06732,beta-Naphthoflavone,The metabolism of Ethanol can be increased when combined with beta-Naphthoflavone.
2369,702,DB00898,Ethanol,DB00195,Betaxolol,Ethanol may increase the hypotensive activities of Betaxolol.
2375,702,DB00898,Ethanol,DB01128,Bicalutamide,The metabolism of Bicalutamide can be increased when combined with Ethanol.
2377,702,DB00898,Ethanol,DB13550,Bifemelane,Bifemelane may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2378,702,DB00898,Ethanol,DB04794,Bifonazole,The metabolism of Ethanol can be decreased when combined with Bifonazole.
2405,702,DB00898,Ethanol,DB00612,Bisoprolol,Ethanol may increase the hypotensive activities of Bisoprolol.
2431,702,DB00898,Ethanol,DB01158,Bretylium,Ethanol may increase the hypotensive activities of Bretylium.
2435,702,DB00898,Ethanol,DB00484,Brimonidine,Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2441,702,DB00898,Ethanol,DB01558,Bromazepam,Bromazepam may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2447,702,DB00898,Ethanol,DB13370,Bromisoval,Bromisoval may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2448,702,DB00898,Ethanol,DB12401,Bromperidol,Bromperidol may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2449,702,DB00898,Ethanol,DB06739,Seratrodast,The metabolism of Seratrodast can be decreased when combined with Ethanol.
2451,702,DB00898,Ethanol,DB09017,Brotizolam,Brotizolam may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2471,702,DB00898,Ethanol,DB00887,Bumetanide,Ethanol may increase the hypotensive activities of Bumetanide.
2474,702,DB00898,Ethanol,DB00297,Bupivacaine,Bupivacaine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2477,702,DB00898,Ethanol,DB00490,Buspirone,Buspirone may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2478,702,DB00898,Ethanol,DB01008,Busulfan,The metabolism of Busulfan can be increased when combined with Ethanol.
2479,702,DB00898,Ethanol,DB00237,Butabarbital,Butabarbital may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2481,702,DB00898,Ethanol,DB00241,Butalbital,Butalbital may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
2519,702,DB00898,Ethanol,DB00201,Caffeine,The metabolism of Ethanol can be decreased when combined with Caffeine.
