cid2,cid,dbid,name,dbid2,name2,descr
190,1775,DB00252,Phenytoin,DB00173,Adenine,The metabolism of Phenytoin can be decreased when combined with Adenine.
199,1775,DB00252,Phenytoin,DB08838,Agmatine,The metabolism of Agmatine can be increased when combined with Phenytoin.
204,1775,DB00252,Phenytoin,DB11100,Allantoin,The therapeutic efficacy of Allantoin can be increased when used in combination with Phenytoin.
237,1775,DB00252,Phenytoin,DB01103,Quinacrine,The metabolism of Quinacrine can be increased when combined with Phenytoin.
244,1775,DB00252,Phenytoin,DB06770,Benzyl alcohol,The risk or severity of methemoglobinemia can be increased when Phenytoin is combined with Benzyl alcohol.
323,1775,DB00252,Phenytoin,DB04665,Coumarin,The metabolism of Coumarin can be decreased when combined with Phenytoin.
338,1775,DB00252,Phenytoin,DB00936,Salicylic acid,The serum concentration of Phenytoin can be increased when it is combined with Salicylic acid.
444,1775,DB00252,Phenytoin,DB01156,Bupropion,The metabolism of Phenytoin can be decreased when combined with Bupropion.
679,1775,DB00252,Phenytoin,DB01093,Dimethyl sulfoxide,The metabolism of Phenytoin can be decreased when combined with Dimethyl sulfoxide.
681,1775,DB00252,Phenytoin,DB00988,Dopamine,The risk or severity of hypotension can be increased when Phenytoin is combined with Dopamine.
702,1775,DB00252,Phenytoin,DB00898,Ethanol,Phenytoin may increase the central nervous system depressant (CNS depressant) activities of Ethanol.
753,1775,DB00252,Phenytoin,DB09462,Glycerin,The metabolism of Phenytoin can be increased when combined with Glycerin.
764,1775,DB00252,Phenytoin,DB02377,Guanine,The serum concentration of Guanine can be decreased when it is combined with Phenytoin.
790,1775,DB00252,Phenytoin,DB04076,Hypoxanthine,The serum concentration of Hypoxanthine can be decreased when it is combined with Phenytoin.
896,1775,DB00252,Phenytoin,DB01065,Melatonin,The risk or severity of CNS depression can be increased when Phenytoin is combined with Melatonin.
938,1775,DB00252,Phenytoin,DB00627,Niacin,The therapeutic efficacy of Phenytoin can be increased when used in combination with Niacin.
948,1775,DB00252,Phenytoin,DB06690,Nitrous oxide,The risk or severity of CNS depression can be increased when Phenytoin is combined with Nitrous oxide.
996,1775,DB00252,Phenytoin,DB03255,Phenol,The risk or severity of methemoglobinemia can be increased when Phenytoin is combined with Phenol.
1001,1775,DB00252,Phenytoin,DB04325,Phenethylamine,The risk or severity of CNS depression can be increased when Phenytoin is combined with Phenethylamine.
1054,1775,DB00252,Phenytoin,DB00165,Pyridoxine,The metabolism of Phenytoin can be increased when combined with Pyridoxine.
1174,1775,DB00252,Phenytoin,DB03419,Uracil,The serum concentration of Phenytoin can be increased when it is combined with Uracil.
1175,1775,DB00252,Phenytoin,DB08844,Uric acid,The serum concentration of Uric acid can be decreased when it is combined with Phenytoin.
1188,1775,DB00252,Phenytoin,DB02134,Xanthine,The serum concentration of Xanthine can be decreased when it is combined with Phenytoin.
1234,1775,DB00252,Phenytoin,DB12923,Gallopamil,The metabolism of Gallopamil can be increased when combined with Phenytoin.
1355,1775,DB00252,Phenytoin,DB12110,m-Chlorophenylpiperazine,The risk or severity of CNS depression can be increased when Phenytoin is combined with m-Chlorophenylpiperazine.
1614,1775,DB00252,Phenytoin,DB01509,Tenamfetamine,The therapeutic efficacy of Phenytoin can be decreased when used in combination with Tenamfetamine.
1615,1775,DB00252,Phenytoin,DB01454,Midomafetamine,The therapeutic efficacy of Phenytoin can be decreased when used in combination with Midomafetamine.
1646,1775,DB00252,Phenytoin,DB06527,Tramiprosate,The risk or severity of CNS depression can be increased when Phenytoin is combined with Tramiprosate.
1783,1775,DB00252,Phenytoin,DB08502,Capravirine,The metabolism of Phenytoin can be decreased when combined with Capravirine.
1832,1775,DB00252,Phenytoin,DB14010,"5-methoxy-N,N-dimethyltryptamine","The risk or severity of CNS depression can be increased when Phenytoin is combined with 5-methoxy-N,N-dimethyltryptamine."
1893,1775,DB00252,Phenytoin,DB02207,7-Nitroindazole,The risk or severity of CNS depression can be increased when Phenytoin is combined with 7-Nitroindazole.
1935,1775,DB00252,Phenytoin,DB00382,Tacrine,"The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Phenytoin is combined with Tacrine."
1978,1775,DB00252,Phenytoin,DB01193,Acebutolol,The metabolism of Phenytoin can be decreased when combined with Acebutolol.
1981,1775,DB00252,Phenytoin,DB13783,Acemetacin,The serum concentration of Phenytoin can be increased when it is combined with Acemetacin.
1983,1775,DB00252,Phenytoin,DB00316,Acetaminophen,Phenytoin may increase the hepatotoxic activities of Acetaminophen.
1986,1775,DB00252,Phenytoin,DB00819,Acetazolamide,The risk or severity of osteomalacia can be increased when Acetazolamide is combined with Phenytoin.
1989,1775,DB00252,Phenytoin,DB00414,Acetohexamide,The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Phenytoin.
2081,1775,DB00252,Phenytoin,DB13233,Alaproclate,The risk or severity of adverse effects can be increased when Phenytoin is combined with Alaproclate.
2082,1775,DB00252,Phenytoin,DB00518,Albendazole,The serum concentration of the active metabolites of Albendazole can be reduced when Albendazole is used in combination with Phenytoin resulting in a loss in efficacy.
2088,1775,DB00252,Phenytoin,DB00630,Alendronic acid,"The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Phenytoin is combined with Alendronic acid."
2092,1775,DB00252,Phenytoin,DB00346,Alfuzosin,The metabolism of Alfuzosin can be increased when combined with Phenytoin.
2094,1775,DB00252,Phenytoin,DB00437,Allopurinol,The metabolism of Phenytoin can be decreased when combined with Allopurinol.
2097,1775,DB00252,Phenytoin,DB13314,Alminoprofen,The serum concentration of Phenytoin can be increased when it is combined with Alminoprofen.
2099,1775,DB00252,Phenytoin,DB00969,Alosetron,The metabolism of Alosetron can be increased when combined with Phenytoin.
2118,1775,DB00252,Phenytoin,DB00404,Alprazolam,The metabolism of Alprazolam can be increased when combined with Phenytoin.
2119,1775,DB00252,Phenytoin,DB00866,Alprenolol,The risk or severity of CNS depression can be increased when Phenytoin is combined with Alprenolol.
2132,1775,DB00252,Phenytoin,DB06742,Ambroxol,The risk or severity of methemoglobinemia can be increased when Phenytoin is combined with Ambroxol.
2145,1775,DB00252,Phenytoin,DB00357,Aminoglutethimide,The metabolism of Phenytoin can be increased when combined with Aminoglutethimide.
2153,1775,DB00252,Phenytoin,DB00277,Theophylline,The serum concentration of Theophylline can be decreased when it is combined with Phenytoin.
2157,1775,DB00252,Phenytoin,DB01118,Amiodarone,The serum concentration of Amiodarone can be decreased when it is combined with Phenytoin.
2159,1775,DB00252,Phenytoin,DB06288,Amisulpride,The risk or severity of CNS depression can be increased when Phenytoin is combined with Amisulpride.
2160,1775,DB00252,Phenytoin,DB00321,Amitriptyline,The metabolism of Phenytoin can be decreased when combined with Amitriptyline.
2162,1775,DB00252,Phenytoin,DB00381,Amlodipine,The metabolism of Phenytoin can be decreased when combined with Amlodipine.
2164,1775,DB00252,Phenytoin,DB01351,Amobarbital,The risk or severity of CNS depression can be increased when Phenytoin is combined with Amobarbital.
2165,1775,DB00252,Phenytoin,DB00613,Amodiaquine,The metabolism of Phenytoin can be decreased when combined with Amodiaquine.
2170,1775,DB00252,Phenytoin,DB00543,Amoxapine,The metabolism of Amoxapine can be decreased when combined with Phenytoin.
2187,1775,DB00252,Phenytoin,DB01217,Anastrozole,The metabolism of Phenytoin can be decreased when combined with Anastrozole.
2196,1775,DB00252,Phenytoin,DB04599,Aniracetam,The risk or severity of CNS depression can be increased when Phenytoin is combined with Aniracetam.
2206,1775,DB00252,Phenytoin,DB01435,Antipyrine,The serum concentration of Phenytoin can be increased when it is combined with Antipyrine.
2218,1775,DB00252,Phenytoin,DB01429,Aprindine,The metabolism of Aprindine can be decreased when combined with Phenytoin.
2225,1775,DB00252,Phenytoin,DB09229,Aranidipine,The metabolism of Aranidipine can be increased when combined with Phenytoin.
2239,1775,DB00252,Phenytoin,DB09204,Arotinolol,The metabolism of Arotinolol can be decreased when combined with Phenytoin.
2244,1775,DB00252,Phenytoin,DB00945,Acetylsalicylic acid,The serum concentration of Phenytoin can be increased when it is combined with Acetylsalicylic acid.
2247,1775,DB00252,Phenytoin,DB00637,Astemizole,The metabolism of Astemizole can be increased when combined with Phenytoin.
2249,1775,DB00252,Phenytoin,DB00335,Atenolol,The metabolism of Atenolol can be decreased when combined with Phenytoin.
2267,1775,DB00252,Phenytoin,DB00972,Azelastine,Phenytoin may increase the central nervous system depressant (CNS depressant) activities of Azelastine.
2284,1775,DB00252,Phenytoin,DB00181,Baclofen,Baclofen may increase the central nervous system depressant (CNS depressant) activities of Phenytoin.
2294,1775,DB00252,Phenytoin,DB01483,Barbital,The metabolism of Phenytoin can be increased when combined with Barbital.
2312,1775,DB00252,Phenytoin,DB13488,Bencyclane,The metabolism of Bencyclane can be increased when combined with Phenytoin.
2318,1775,DB00252,Phenytoin,DB09022,Benfluorex,The therapeutic efficacy of Benfluorex can be decreased when used in combination with Phenytoin.
2333,1775,DB00252,Phenytoin,DB12319,Benzbromarone,The metabolism of Phenytoin can be decreased when combined with Benzbromarone.
2337,1775,DB00252,Phenytoin,DB01086,Benzocaine,The risk or severity of methemoglobinemia can be increased when Phenytoin is combined with Benzocaine.
2351,1775,DB00252,Phenytoin,DB01244,Bepridil,The metabolism of Bepridil can be increased when combined with Phenytoin.
2369,1775,DB00252,Phenytoin,DB00195,Betaxolol,The metabolism of Phenytoin can be decreased when combined with Betaxolol.
2372,1775,DB00252,Phenytoin,DB01295,Bevantolol,The metabolism of Bevantolol can be decreased when combined with Phenytoin.
2375,1775,DB00252,Phenytoin,DB01128,Bicalutamide,The metabolism of Bicalutamide can be increased when combined with Phenytoin.
2377,1775,DB00252,Phenytoin,DB13550,Bifemelane,The risk or severity of CNS depression can be increased when Phenytoin is combined with Bifemelane.
2378,1775,DB00252,Phenytoin,DB04794,Bifonazole,The metabolism of Phenytoin can be decreased when combined with Bifonazole.
2381,1775,DB00252,Phenytoin,DB00810,Biperiden,The metabolism of Phenytoin can be decreased when combined with Biperiden.
2405,1775,DB00252,Phenytoin,DB00612,Bisoprolol,The metabolism of Bisoprolol can be increased when combined with Phenytoin.
2435,1775,DB00252,Phenytoin,DB00484,Brimonidine,Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Phenytoin.
2441,1775,DB00252,Phenytoin,DB01558,Bromazepam,The serum concentration of Phenytoin can be increased when it is combined with Bromazepam.
2447,1775,DB00252,Phenytoin,DB13370,Bromisoval,The risk or severity of CNS depression can be increased when Phenytoin is combined with Bromisoval.
2448,1775,DB00252,Phenytoin,DB12401,Bromperidol,The risk or severity of CNS depression can be increased when Phenytoin is combined with Bromperidol.
2449,1775,DB00252,Phenytoin,DB06739,Seratrodast,The metabolism of Phenytoin can be decreased when combined with Seratrodast.
2451,1775,DB00252,Phenytoin,DB09017,Brotizolam,The metabolism of Brotizolam can be increased when combined with Phenytoin.
2468,1775,DB00252,Phenytoin,DB04830,Buformin,The therapeutic efficacy of Buformin can be decreased when used in combination with Phenytoin.
2471,1775,DB00252,Phenytoin,DB00887,Bumetanide,"The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Phenytoin is combined with Bumetanide."
2474,1775,DB00252,Phenytoin,DB00297,Bupivacaine,The risk or severity of methemoglobinemia can be increased when Phenytoin is combined with Bupivacaine.
2475,1775,DB00252,Phenytoin,DB08808,Bupranolol,The metabolism of Bupranolol can be decreased when combined with Phenytoin.
2477,1775,DB00252,Phenytoin,DB00490,Buspirone,The metabolism of Buspirone can be increased when combined with Phenytoin.
2478,1775,DB00252,Phenytoin,DB01008,Busulfan,The serum concentration of Busulfan can be decreased when it is combined with Phenytoin.
2479,1775,DB00252,Phenytoin,DB00237,Butabarbital,The risk or severity of CNS depression can be increased when Butabarbital is combined with Phenytoin.
2480,1775,DB00252,Phenytoin,DB11502,Butacaine,The risk or severity of methemoglobinemia can be increased when Phenytoin is combined with Butacaine.
2481,1775,DB00252,Phenytoin,DB00241,Butalbital,The risk or severity of CNS depression can be increased when Butalbital is combined with Phenytoin.
2482,1775,DB00252,Phenytoin,DB11148,Butamben,The risk or severity of methemoglobinemia can be increased when Phenytoin is combined with Butamben.
2519,1775,DB00252,Phenytoin,DB00201,Caffeine,The serum concentration of Caffeine can be decreased when it is combined with Phenytoin.
2520,1775,DB00252,Phenytoin,DB00661,Verapamil,The serum concentration of Verapamil can be decreased when it is combined with Phenytoin.
2540,1775,DB00252,Phenytoin,DB00796,Candesartan cilexetil,The metabolism of Phenytoin can be decreased when combined with Candesartan cilexetil.
2541,1775,DB00252,Phenytoin,DB13919,Candesartan,The metabolism of Phenytoin can be decreased when combined with Candesartan.
2543,1775,DB00252,Phenytoin,DB14737,Cannabinol,The risk or severity of adverse effects can be increased when Cannabinol is combined with Phenytoin.
2554,1775,DB00252,Phenytoin,DB00564,Carbamazepine,The serum concentration of Phenytoin can be decreased when it is combined with Carbamazepine.
2564,1775,DB00252,Phenytoin,DB00748,Carbinoxamine,The risk or severity of CNS depression can be increased when Phenytoin is combined with Carbinoxamine.
2576,1775,DB00252,Phenytoin,DB00395,Carisoprodol,The risk or severity of adverse effects can be increased when Carisoprodol is combined with Phenytoin.
2578,1775,DB00252,Phenytoin,DB00262,Carmustine,The serum concentration of Phenytoin can be decreased when it is combined with Carmustine.
2581,1775,DB00252,Phenytoin,DB00821,Carprofen,The serum concentration of Phenytoin can be increased when it is combined with Carprofen.
2585,1775,DB00252,Phenytoin,DB01136,Carvedilol,The metabolism of Carvedilol can be increased when combined with Phenytoin.
2662,1775,DB00252,Phenytoin,DB00482,Celecoxib,The serum concentration of Phenytoin can be increased when it is combined with Celecoxib.
2663,1775,DB00252,Phenytoin,DB04846,Celiprolol,The metabolism of Celiprolol can be decreased when combined with Phenytoin.
2678,1775,DB00252,Phenytoin,DB00341,Cetirizine,The risk or severity of CNS depression can be increased when Phenytoin is combined with Cetirizine.
2707,1775,DB00252,Phenytoin,DB01563,Chloral hydrate,The risk or severity of CNS depression can be increased when Phenytoin is combined with Chloral hydrate.
2708,1775,DB00252,Phenytoin,DB00291,Chlorambucil,The therapeutic efficacy of Phenytoin can be decreased when used in combination with Chlorambucil.
