cid2,cid,dbid,name,dbid2,name2,descr
244,1188,DB02134,Xanthine,DB06770,Benzyl alcohol,The metabolism of Benzyl alcohol can be decreased when combined with Xanthine.
681,1188,DB02134,Xanthine,DB00988,Dopamine,The risk or severity of adverse effects can be increased when Dopamine is combined with Xanthine.
702,1188,DB02134,Xanthine,DB00898,Ethanol,The metabolism of Xanthine can be decreased when combined with Ethanol.
790,1188,DB02134,Xanthine,DB04076,Hypoxanthine,The metabolism of Hypoxanthine can be decreased when combined with Xanthine.
896,1188,DB02134,Xanthine,DB01065,Melatonin,The metabolism of Xanthine can be decreased when combined with Melatonin.
1614,1188,DB02134,Xanthine,DB01509,Tenamfetamine,The risk or severity of adverse effects can be increased when Tenamfetamine is combined with Xanthine.
1615,1188,DB02134,Xanthine,DB01454,Midomafetamine,The risk or severity of adverse effects can be increased when Midomafetamine is combined with Xanthine.
1646,1188,DB02134,Xanthine,DB06527,Tramiprosate,Tramiprosate may increase the excretion rate of Xanthine which could result in a lower serum level and potentially a reduction in efficacy.
1775,1188,DB02134,Xanthine,DB00252,Phenytoin,The serum concentration of Xanthine can be decreased when it is combined with Phenytoin.
1893,1188,DB02134,Xanthine,DB02207,7-Nitroindazole,7-Nitroindazole may increase the excretion rate of Xanthine which could result in a lower serum level and potentially a reduction in efficacy.
1935,1188,DB02134,Xanthine,DB00382,Tacrine,The metabolism of Xanthine can be decreased when combined with Tacrine.
1978,1188,DB02134,Xanthine,DB01193,Acebutolol,The risk or severity of adverse effects can be increased when Acebutolol is combined with Xanthine.
1983,1188,DB02134,Xanthine,DB00316,Acetaminophen,The metabolism of Xanthine can be decreased when combined with Acetaminophen.
1986,1188,DB02134,Xanthine,DB00819,Acetazolamide,Acetazolamide may increase the excretion rate of Xanthine which could result in a lower serum level and potentially a reduction in efficacy.
2022,1188,DB02134,Xanthine,DB00787,Acyclovir,The metabolism of Xanthine can be decreased when combined with Acyclovir.
2082,1188,DB02134,Xanthine,DB00518,Albendazole,The metabolism of Xanthine can be increased when combined with Albendazole.
2083,1188,DB02134,Xanthine,DB01001,Albuterol,The risk or severity of hypokalemia can be increased when Xanthine is combined with Salbutamol.
2094,1188,DB02134,Xanthine,DB00437,Allopurinol,The serum concentration of Xanthine can be increased when it is combined with Allopurinol.
2099,1188,DB02134,Xanthine,DB00969,Alosetron,The metabolism of Xanthine can be decreased when combined with Alosetron.
2118,1188,DB02134,Xanthine,DB00404,Alprazolam,The therapeutic efficacy of Alprazolam can be decreased when used in combination with Xanthine.
2119,1188,DB02134,Xanthine,DB00866,Alprenolol,The risk or severity of adverse effects can be increased when Alprenolol is combined with Xanthine.
2153,1188,DB02134,Xanthine,DB00277,Theophylline,The metabolism of Xanthine can be decreased when combined with Theophylline.
2157,1188,DB02134,Xanthine,DB01118,Amiodarone,The serum concentration of Xanthine can be increased when it is combined with Amiodarone.
2160,1188,DB02134,Xanthine,DB00321,Amitriptyline,The metabolism of Xanthine can be decreased when combined with Amitriptyline.
2164,1188,DB02134,Xanthine,DB01351,Amobarbital,The serum concentration of Xanthine can be decreased when it is combined with Amobarbital.
2182,1188,DB02134,Xanthine,DB00261,Anagrelide,The metabolism of Xanthine can be decreased when combined with Anagrelide.
2206,1188,DB02134,Xanthine,DB01435,Antipyrine,The metabolism of Xanthine can be decreased when combined with Antipyrine.
2239,1188,DB02134,Xanthine,DB09204,Arotinolol,The risk or severity of adverse effects can be increased when Arotinolol is combined with Xanthine.
2249,1188,DB02134,Xanthine,DB00335,Atenolol,The risk or severity of adverse effects can be increased when Atenolol is combined with Xanthine.
2265,1188,DB02134,Xanthine,DB00993,Azathioprine,The metabolism of Xanthine can be decreased when combined with Azathioprine.
2267,1188,DB02134,Xanthine,DB00972,Azelastine,The metabolism of Xanthine can be decreased when combined with Azelastine.
2294,1188,DB02134,Xanthine,DB01483,Barbital,The serum concentration of Xanthine can be decreased when it is combined with Barbital.
2337,1188,DB02134,Xanthine,DB01086,Benzocaine,The metabolism of Xanthine can be decreased when combined with Benzocaine.
2361,1188,DB02134,Xanthine,DB06732,beta-Naphthoflavone,The metabolism of Xanthine can be increased when combined with beta-Naphthoflavone.
2369,1188,DB02134,Xanthine,DB00195,Betaxolol,The risk or severity of adverse effects can be increased when Betaxolol is combined with Xanthine.
2372,1188,DB02134,Xanthine,DB01295,Bevantolol,The risk or severity of adverse effects can be increased when Bevantolol is combined with Xanthine.
2405,1188,DB02134,Xanthine,DB00612,Bisoprolol,The risk or severity of adverse effects can be increased when Bisoprolol is combined with Xanthine.
2441,1188,DB02134,Xanthine,DB01558,Bromazepam,The therapeutic efficacy of Bromazepam can be decreased when used in combination with Xanthine.
2451,1188,DB02134,Xanthine,DB09017,Brotizolam,The therapeutic efficacy of Brotizolam can be decreased when used in combination with Xanthine.
2475,1188,DB02134,Xanthine,DB08808,Bupranolol,The risk or severity of adverse effects can be increased when Bupranolol is combined with Xanthine.
2479,1188,DB02134,Xanthine,DB00237,Butabarbital,The serum concentration of Xanthine can be decreased when it is combined with Butabarbital.
2481,1188,DB02134,Xanthine,DB00241,Butalbital,The serum concentration of Xanthine can be decreased when it is combined with Butalbital.
2519,1188,DB02134,Xanthine,DB00201,Caffeine,The metabolism of Xanthine can be decreased when combined with Caffeine.
2520,1188,DB02134,Xanthine,DB00661,Verapamil,The metabolism of Xanthine can be decreased when combined with Verapamil.
2543,1188,DB02134,Xanthine,DB14737,Cannabinol,The metabolism of Xanthine can be decreased when combined with Cannabinol.
