cid2,cid,dbid,name,dbid2,name2,descr
190,3672,DB01050,Ibuprofen,DB00173,Adenine,The metabolism of Ibuprofen can be decreased when combined with Adenine.
199,3672,DB01050,Ibuprofen,DB08838,Agmatine,The risk or severity of hyperkalemia can be increased when Ibuprofen is combined with Agmatine.
244,3672,DB01050,Ibuprofen,DB06770,Benzyl alcohol,The metabolism of Benzyl alcohol can be decreased when combined with Ibuprofen.
323,3672,DB01050,Ibuprofen,DB04665,Coumarin,The metabolism of Coumarin can be decreased when combined with Ibuprofen.
338,3672,DB01050,Ibuprofen,DB00936,Salicylic acid,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Ibuprofen.
444,3672,DB01050,Ibuprofen,DB01156,Bupropion,Ibuprofen may decrease the excretion rate of Bupropion which could result in a higher serum level.
679,3672,DB01050,Ibuprofen,DB01093,Dimethyl sulfoxide,Ibuprofen may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.
681,3672,DB01050,Ibuprofen,DB00988,Dopamine,The risk or severity of hypertension can be increased when Dopamine is combined with Ibuprofen.
702,3672,DB01050,Ibuprofen,DB00898,Ethanol,The risk or severity of gastrointestinal irritation can be increased when Ethanol is combined with Ibuprofen.
743,3672,DB01050,Ibuprofen,DB03553,Glutaric Acid,The excretion of Glutaric Acid can be decreased when combined with Ibuprofen.
948,3672,DB01050,Ibuprofen,DB06690,Nitrous oxide,The risk or severity of hypertension can be increased when Ibuprofen is combined with Nitrous oxide.
971,3672,DB01050,Ibuprofen,DB03902,Oxalic Acid,The excretion of Oxalic Acid can be decreased when combined with Ibuprofen.
1004,3672,DB01050,Ibuprofen,DB09394,Phosphoric acid,Ibuprofen may decrease the excretion rate of Phosphoric acid which could result in a higher serum level.
1046,3672,DB01050,Ibuprofen,DB00339,Pyrazinamide,Ibuprofen may decrease the excretion rate of Pyrazinamide which could result in a higher serum level.
1091,3672,DB01050,Ibuprofen,DB11127,Selenious acid,Ibuprofen may decrease the excretion rate of Selenious acid which could result in a higher serum level.
1110,3672,DB01050,Ibuprofen,DB00139,Succinic acid,The excretion of Succinic acid can be decreased when combined with Ibuprofen.
1234,3672,DB01050,Ibuprofen,DB12923,Gallopamil,The risk or severity of hyperkalemia can be increased when Ibuprofen is combined with Gallopamil.
1614,3672,DB01050,Ibuprofen,DB01509,Tenamfetamine,The risk or severity of hypertension can be increased when Ibuprofen is combined with Tenamfetamine.
1615,3672,DB01050,Ibuprofen,DB01454,Midomafetamine,The risk or severity of hypertension can be increased when Ibuprofen is combined with Midomafetamine.
1727,3672,DB01050,Ibuprofen,DB06637,Dalfampridine,Ibuprofen may decrease the excretion rate of Dalfampridine which could result in a higher serum level.
1775,3672,DB01050,Ibuprofen,DB00252,Phenytoin,The serum concentration of Phenytoin can be increased when it is combined with Ibuprofen.
1783,3672,DB01050,Ibuprofen,DB08502,Capravirine,The metabolism of Capravirine can be decreased when combined with Ibuprofen.
1832,3672,DB01050,Ibuprofen,DB14010,"5-methoxy-N,N-dimethyltryptamine","The risk or severity of hypertension can be increased when Ibuprofen is combined with 5-methoxy-N,N-dimethyltryptamine."
1923,3672,DB01050,Ibuprofen,DB11145,Oxyquinoline,Ibuprofen may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.
1978,3672,DB01050,Ibuprofen,DB01193,Acebutolol,Ibuprofen may decrease the antihypertensive activities of Acebutolol.
1981,3672,DB01050,Ibuprofen,DB13783,Acemetacin,The risk or severity of adverse effects can be increased when Ibuprofen is combined with Acemetacin.
